timestamp,value,classification,Date,Closed_PnL,Size_USD,Size_Token,Execution_Price,Fee,Start_Position_Mean,Start_Position_STD,Buy,Close long,Close short,Open long,Open short,Sell,Spot dust conversion,Bullish,Bearish,Bullish Ratio
1682919000,63,Greed,2023-05-01,0.0,477.0,0.25129999999999997,1898.1333333333332,0.0,0.09193333333333333,0.08964509653814498,0,0,0,3,0,0,0,3,0,1.0
1701754200,75,Extreme Greed,2023-12-05,0.0,50005.83,11.80901,11038.3,12.501455,2.513866666666667,3.029634572023497,0,0,0,7,2,0,0,7,2,0.7777777777777778
1702531800,72,Greed,2023-12-14,-18.675885181818188,113203.35,4092.28901,8031.868818181818,28.300831000000002,-132.57430181818182,703.8074882995812,0,4,2,3,2,0,0,5,6,0.45454545454545453
1702618200,70,Greed,2023-12-15,-12.316016999999999,10609.95,3558.0,2.982,2.652489,-2440.0,1581.0907627331203,0,0,2,0,0,0,0,2,0,1.0
1702704600,67,Greed,2023-12-16,0.0,15348.77,39897.0,0.3847066666666667,3.8371890000000004,12124.666666666666,12104.052930045098,0,0,0,3,0,0,0,3,0,1.0
1702791000,73,Greed,2023-12-17,21.78448464285714,116278.02,86246.4486,802.5418592857143,29.069499,10738.717442857143,12941.305836082875,0,11,0,3,0,0,0,3,11,0.21428571428571427
1702877400,65,Greed,2023-12-18,0.0,31164.179999999997,14.306,2178.1000000000004,7.791045,0.004,0.00565685424949238,0,0,0,2,0,0,0,2,0,1.0
1702963800,73,Greed,2023-12-19,66.70257413333334,91602.41,161546.30599999998,447.8019113333333,22.900596,27078.30564,26939.896858729655,0,10,0,5,0,0,0,5,10,0.3333333333333333
1703050200,74,Greed,2023-12-20,9.040682333333333,141636.79,174520.2,6.722871666666666,35.409187,20047.266666666666,30421.788156168983,0,8,0,10,0,0,0,10,8,0.5555555555555556
1703136600,70,Greed,2023-12-21,10.963498000000001,125233.97,1364.3,91.84020408163265,31.308469,121.77714285714285,74.14306696628262,0,27,0,22,0,0,0,22,27,0.4489795918367347
1703223000,74,Greed,2023-12-22,14.1832675,88874.28,2450.7491,30692.8325,22.218566000000003,251.338681,561.8522517773397,0,2,0,8,0,0,0,8,2,0.8
1703309400,70,Greed,2023-12-23,11.302823384615383,78438.25,141665.4,3.0702846153846153,19.609555,30063.046153846153,26634.586684034708,0,8,0,5,0,0,0,5,8,0.38461538461538464
